#   RA_deg    DEC_deg      l_deg      b_deg   Rhel_kpc    phi_deg  theta_deg   Rgal_kpc
  137.0171    23.0244   204.5313    39.6608     18.502   195.4082    27.9479     25.196
  137.0464    23.0665   204.4892    39.6989     18.505   195.3795    27.9751     25.199
  137.0758    23.1086   204.4471    39.7370     18.509   195.3508    28.0022     25.201
  137.1052    23.1506   204.4050    39.7751     18.512   195.3220    28.0293     25.204
  137.1347    23.1927   204.3628    39.8131     18.516   195.2933    28.0565     25.206
  137.1641    23.2347   204.3205    39.8511     18.519   195.2645    28.0836     25.208
  137.1936    23.2767   204.2782    39.8892     18.523   195.2356    28.1107     25.211
  137.2231    23.3188   204.2358    39.9272     18.526   195.2068    28.1378     25.213
  137.2526    23.3608   204.1934    39.9652     18.530   195.1779    28.1649     25.216
  137.2821    23.4028   204.1510    40.0031     18.533   195.1490    28.1920     25.218
  137.3117    23.4448   204.1085    40.0411     18.537   195.1201    28.2191     25.220
  137.3412    23.4868   204.0660    40.0791     18.540   195.0912    28.2462     25.223
  137.3708    23.5288   204.0234    40.1170     18.544   195.0622    28.2733     25.225
  137.4004    23.5708   203.9807    40.1549     18.547   195.0332    28.3003     25.228
  137.4300    23.6128   203.9381    40.1928     18.551   195.0042    28.3274     25.230
  137.4597    23.6548   203.8953    40.2307     18.554   194.9752    28.3545     25.232
  137.4893    23.6968   203.8525    40.2685     18.558   194.9461    28.3815     25.235
  137.5190    23.7388   203.8097    40.3064     18.561   194.9170    28.4085     25.237
  137.5487    23.7807   203.7668    40.3442     18.565   194.8879    28.4356     25.239
  137.5784    23.8227   203.7239    40.3821     18.568   194.8588    28.4626     25.242
  137.6081    23.8647   203.6809    40.4199     18.572   194.8296    28.4896     25.244
  137.6379    23.9066   203.6379    40.4577     18.575   194.8005    28.5166     25.247
  137.6676    23.9486   203.5949    40.4954     18.579   194.7713    28.5436     25.249
  137.6974    23.9905   203.5517    40.5332     18.582   194.7420    28.5706     25.251
  137.7272    24.0324   203.5086    40.5709     18.586   194.7128    28.5976     25.254
  137.7571    24.0744   203.4654    40.6086     18.589   194.6835    28.6246     25.256
  137.7869    24.1163   203.4221    40.6464     18.593   194.6542    28.6515     25.259
  137.8168    24.1582   203.3788    40.6840     18.596   194.6249    28.6785     25.261
  137.8467    24.2001   203.3354    40.7217     18.600   194.5955    28.7055     25.263
  137.8766    24.2420   203.2920    40.7594     18.603   194.5661    28.7324     25.266
  137.9065    24.2839   203.2486    40.7970     18.607   194.5367    28.7593     25.268
  137.9365    24.3258   203.2051    40.8346     18.610   194.5073    28.7863     25.270
  137.9664    24.3677   203.1615    40.8723     18.614   194.4778    28.8132     25.273
  137.9964    24.4096   203.1179    40.9099     18.617   194.4484    28.8401     25.275
  138.0264    24.4515   203.0742    40.9474     18.621   194.4189    28.8670     25.277
  138.0565    24.4933   203.0305    40.9850     18.624   194.3893    28.8939     25.280
  138.0865    24.5352   202.9868    41.0225     18.628   194.3598    28.9208     25.282
  138.1166    24.5770   202.9430    41.0601     18.631   194.3302    28.9477     25.285
  138.1467    24.6189   202.8991    41.0976     18.635   194.3006    28.9746     25.287
  138.1768    24.6607   202.8552    41.1351     18.638   194.2710    29.0015     25.289
  138.2069    24.7026   202.8112    41.1726     18.642   194.2413    29.0283     25.292
  138.2370    24.7444   202.7672    41.2100     18.646   194.2116    29.0552     25.294
  138.2672    24.7862   202.7232    41.2475     18.649   194.1819    29.0820     25.296
  138.2974    24.8281   202.6791    41.2849     18.653   194.1522    29.1089     25.299
  138.3276    24.8699   202.6349    41.3223     18.656   194.1225    29.1357     25.301
  138.3578    24.9117   202.5907    41.3597     18.660   194.0927    29.1625     25.303
  138.3881    24.9535   202.5465    41.3971     18.663   194.0629    29.1893     25.306
  138.4184    24.9953   202.5021    41.4344     18.667   194.0331    29.2162     25.308
  138.4486    25.0371   202.4578    41.4718     18.670   194.0032    29.2430     25.310
  138.4790    25.0789   202.4134    41.5091     18.674   193.9733    29.2697     25.313
  138.5093    25.1207   202.3689    41.5464     18.678   193.9434    29.2965     25.315
  138.5396    25.1624   202.3244    41.5837     18.681   193.9135    29.3233     25.317
  138.5700    25.2042   202.2798    41.6210     18.685   193.8835    29.3501     25.320
  138.6004    25.2460   202.2352    41.6582     18.688   193.8536    29.3768     25.322
  138.6308    25.2877   202.1905    41.6955     18.692   193.8236    29.4036     25.325
  138.6613    25.3295   202.1458    41.7327     18.695   193.7935    29.4303     25.327
  138.6917    25.3712   202.1010    41.7699     18.699   193.7635    29.4571     25.329
  138.7222    25.4129   202.0562    41.8071     18.703   193.7334    29.4838     25.332
  138.7527    25.4547   202.0113    41.8443     18.706   193.7033    29.5105     25.334
  138.7832    25.4964   201.9664    41.8814     18.710   193.6732    29.5373     25.336
  138.8138    25.5381   201.9214    41.9185     18.713   193.6430    29.5640     25.339
  138.8443    25.5798   201.8764    41.9557     18.717   193.6128    29.5907     25.341
